GUID,Id,Kostengruppe,Best_Predicted_Kostengruppe
5ce91af7-d1cc-4945-a4fd-032332d2a243-005baa99,6007449,346,346
5ce91af7-d1cc-4945-a4fd-032332d2a243-005baa96,6007446,346,346
5ce91af7-d1cc-4945-a4fd-032332d2a243-005baa97,6007447,346,346
5ce91af7-d1cc-4945-a4fd-032332d2a243-005baa94,6007444,346,346
5ce91af7-d1cc-4945-a4fd-032332d2a243-005baa95,6007445,346,346
5ce91af7-d1cc-4945-a4fd-032332d2a243-005baa92,6007442,346,346
5ce91af7-d1cc-4945-a4fd-032332d2a243-005baa93,6007443,346,346
5ce91af7-d1cc-4945-a4fd-032332d2a243-005baa90,6007440,346,346
5ce91af7-d1cc-4945-a4fd-032332d2a243-005baa91,6007441,346,346
5ce91af7-d1cc-4945-a4fd-032332d2a243-005ba39d,6005661,346,346
5ce91af7-d1cc-4945-a4fd-032332d2a243-005ba39e,6005662,346,346
5ce91af7-d1cc-4945-a4fd-032332d2a243-005ba39f,6005663,346,346
5ce91af7-d1cc-4945-a4fd-032332d2a243-005ba39a,6005658,346,346
5ce91af7-d1cc-4945-a4fd-032332d2a243-005ba39b,6005659,346,346
5ce91af7-d1cc-4945-a4fd-032332d2a243-005ba39c,6005660,346,346
5ce91af7-d1cc-4945-a4fd-032332d2a243-005ba398,6005656,346,346
5ce91af7-d1cc-4945-a4fd-032332d2a243-005ba399,6005657,346,346
5ce91af7-d1cc-4945-a4fd-032332d2a243-005ba394,6005652,346,346
5ce91af7-d1cc-4945-a4fd-032332d2a243-005ba395,6005653,346,346
5ce91af7-d1cc-4945-a4fd-032332d2a243-005ba396,6005654,346,346
5ce91af7-d1cc-4945-a4fd-032332d2a243-005ba397,6005655,346,346
5ce91af7-d1cc-4945-a4fd-032332d2a243-005ba390,6005648,346,346
5ce91af7-d1cc-4945-a4fd-032332d2a243-005ba391,6005649,346,346
5ce91af7-d1cc-4945-a4fd-032332d2a243-005ba392,6005650,346,346
5ce91af7-d1cc-4945-a4fd-032332d2a243-005ba393,6005651,346,346
ec7eeff4-912c-41fe-8947-386ce3eec9cd-00a82dba,11021754,335,335
ec7eeff4-912c-41fe-8947-386ce3eec9cd-00a82db8,11021752,335,335
ec7eeff4-912c-41fe-8947-386ce3eec9cd-00a82db9,11021753,335,335
ec7eeff4-912c-41fe-8947-386ce3eec9cd-00a82db6,11021750,332,332
ec7eeff4-912c-41fe-8947-386ce3eec9cd-00a82db7,11021751,335,335
ec7eeff4-912c-41fe-8947-386ce3eec9cd-00a82db4,11021748,332,332
ec7eeff4-912c-41fe-8947-386ce3eec9cd-00a82db5,11021749,332,332
ec7eeff4-912c-41fe-8947-386ce3eec9cd-00a82db3,11021747,332,332
ca24cb12-c93e-4044-b5de-458b3eab8af1-009066b1,9463473,346,346
ca24cb12-c93e-4044-b5de-458b3eab8af1-009066b0,9463472,346,346
04b1094a-088e-4bde-bdc7-c853898aeed9-009c6613,10249747,345,345
04b1094a-088e-4bde-bdc7-c853898aeed9-009c6017,10248215,345,345
04b1094a-088e-4bde-bdc7-c853898aeed9-009c6310,10248976,345,345
3df63c4c-4b0a-4588-bbe0-1e1fde8ec887-00af6661,11495009,345,345
3df63c4c-4b0a-4588-bbe0-1e1fde8ec887-00af626d,11493997,345,345
3df63c4c-4b0a-4588-bbe0-1e1fde8ec887-00af6567,11494759,345,345
3df63c4c-4b0a-4588-bbe0-1e1fde8ec887-00af6864,11495524,345,345
3df63c4c-4b0a-4588-bbe0-1e1fde8ec887-00af6865,11495525,345,345
3df63c4c-4b0a-4588-bbe0-1e1fde8ec887-00af6862,11495522,345,345
3df63c4c-4b0a-4588-bbe0-1e1fde8ec887-00af6863,11495523,345,345
3df63c4c-4b0a-4588-bbe0-1e1fde8ec887-00af6860,11495520,345,345
3df63c4c-4b0a-4588-bbe0-1e1fde8ec887-00af6861,11495521,345,345
a3a38aaa-7375-4734-bc3f-4decca6475b9-005b8be4,5999588,331,331
a3a38aaa-7375-4734-bc3f-4decca6475b9-005b8be5,5999589,331,331
a3a38aaa-7375-4734-bc3f-4decca6475b9-005b8be6,5999590,331,331
a3a38aaa-7375-4734-bc3f-4decca6475b9-005b8be7,5999591,331,331
a3a38aaa-7375-4734-bc3f-4decca6475b9-005b8be0,5999584,331,331
a3a38aaa-7375-4734-bc3f-4decca6475b9-005b8be1,5999585,331,331
a3a38aaa-7375-4734-bc3f-4decca6475b9-005b8be2,5999586,331,331
a3a38aaa-7375-4734-bc3f-4decca6475b9-005b8be3,5999587,331,331
a3a38aaa-7375-4734-bc3f-4decca6475b9-005b8be8,5999592,331,331
a3a38aaa-7375-4734-bc3f-4decca6475b9-005b8cee,5999854,331,331
a3a38aaa-7375-4734-bc3f-4decca6475b9-005b8ced,5999853,331,331
a3a38aaa-7375-4734-bc3f-4decca6475b9-005b8cef,5999855,331,331
b6e87c8e-06eb-45ce-b073-33361bf4d3b9-009cd1e3,10277347,345,345
b6e87c8e-06eb-45ce-b073-33361bf4d3b9-009cd1e2,10277346,345,345
b6e87c8e-06eb-45ce-b073-33361bf4d3b9-009cd1e1,10277345,345,345
b6e87c8e-06eb-45ce-b073-33361bf4d3b9-009cd1e0,10277344,345,345
b6e87c8e-06eb-45ce-b073-33361bf4d3b9-009cd1e7,10277351,345,345
b6e87c8e-06eb-45ce-b073-33361bf4d3b9-009cd1e6,10277350,345,345
b6e87c8e-06eb-45ce-b073-33361bf4d3b9-009cd1e5,10277349,345,345
b6e87c8e-06eb-45ce-b073-33361bf4d3b9-009cd1e4,10277348,345,345
b6e87c8e-06eb-45ce-b073-33361bf4d3b9-009cd1e9,10277353,345,345
